,open,high,low,close,volume
2024-02-12 14:50:00,65733000.0,65741000.0,65530000.0,65670000.0,34.56333368
2024-02-12 14:55:00,65670000.0,65881000.0,65650000.0,65843000.0,80.77793055
2024-02-12 15:00:00,65843000.0,65890000.0,65669000.0,65888000.0,67.32054907
2024-02-12 15:05:00,65888000.0,65999000.0,65750000.0,65991000.0,97.41695767
2024-02-12 15:10:00,65991000.0,66150000.0,65770000.0,66135000.0,195.40802172
2024-02-12 15:15:00,66134000.0,66140000.0,65810000.0,65810000.0,91.82971641
2024-02-12 15:20:00,65818000.0,66071000.0,65810000.0,66010000.0,39.8139243
2024-02-12 15:25:00,66010000.0,66080000.0,65996000.0,66080000.0,38.46066473
2024-02-12 15:30:00,66080000.0,66500000.0,66023000.0,66460000.0,140.10187563
2024-02-12 15:35:00,66487000.0,66630000.0,66407000.0,66620000.0,145.74316605
2024-02-12 15:40:00,66621000.0,66990000.0,66620000.0,66980000.0,205.3311366
2024-02-12 15:45:00,66980000.0,67100000.0,66847000.0,66999000.0,226.07458406
2024-02-12 15:50:00,66999000.0,67205000.0,66900000.0,67205000.0,113.71458
2024-02-12 15:55:00,67206000.0,67360000.0,67186000.0,67356000.0,118.4506078
2024-02-12 16:00:00,67356000.0,67428000.0,66955000.0,67200000.0,152.88311953
2024-02-12 16:05:00,67200000.0,67231000.0,67062000.0,67169000.0,61.47906592
2024-02-12 16:10:00,67169000.0,67169000.0,66900000.0,66900000.0,65.83609664
2024-02-12 16:15:00,66900000.0,66906000.0,66430000.0,66898000.0,126.12828155
2024-02-12 16:20:00,66898000.0,67056000.0,66881000.0,67027000.0,46.99345262
2024-02-12 16:25:00,67027000.0,67093000.0,66918000.0,66918000.0,38.61343503
2024-02-12 16:30:00,66962000.0,67021000.0,66795000.0,66797000.0,29.06487095
2024-02-12 16:35:00,66830000.0,67000000.0,66728000.0,66898000.0,40.25511406
2024-02-12 16:40:00,66901000.0,66941000.0,66678000.0,66838000.0,49.66710477
2024-02-12 16:45:00,66829000.0,66829000.0,66652000.0,66703000.0,45.94618604
2024-02-12 16:50:00,66703000.0,66917000.0,66703000.0,66807000.0,30.09626284
2024-02-12 16:55:00,66873000.0,66873000.0,66728000.0,66839000.0,13.59532402
2024-02-12 17:00:00,66833000.0,67014000.0,66792000.0,67000000.0,29.78342812
2024-02-12 17:05:00,67004000.0,67050000.0,66905000.0,66989000.0,26.0658585
2024-02-12 17:10:00,66989000.0,67136000.0,66989000.0,67130000.0,23.40388458
2024-02-12 17:15:00,67134000.0,67400000.0,67098000.0,67390000.0,71.22286737
2024-02-12 17:20:00,67383000.0,67400000.0,67050000.0,67240000.0,42.06365146
2024-02-12 17:25:00,67214000.0,67390000.0,67149000.0,67257000.0,49.99301526
2024-02-12 17:30:00,67328000.0,67444000.0,67222000.0,67390000.0,78.38768967
2024-02-12 17:35:00,67390000.0,67411000.0,67123000.0,67150000.0,43.1921135
2024-02-12 17:40:00,67131000.0,67196000.0,66900000.0,67088000.0,42.79503636
2024-02-12 17:45:00,67088000.0,67300000.0,67050000.0,67165000.0,19.92800035
2024-02-12 17:50:00,67148000.0,67166000.0,67054000.0,67120000.0,18.48975164
2024-02-12 17:55:00,67088000.0,67119000.0,67000000.0,67006000.0,13.74112282
2024-02-12 18:00:00,67004000.0,67166000.0,67004000.0,67075000.0,19.22283634
2024-02-12 18:05:00,67075000.0,67122000.0,66971000.0,66971000.0,22.72869214
2024-02-12 18:10:00,66970000.0,66971000.0,66824000.0,66900000.0,26.8058653
2024-02-12 18:15:00,66839000.0,67002000.0,66839000.0,66930000.0,22.89701917
2024-02-12 18:20:00,66930000.0,67073000.0,66930000.0,67006000.0,13.11448776
2024-02-12 18:25:00,67019000.0,67114000.0,66942000.0,67035000.0,14.87342504
2024-02-12 18:30:00,67035000.0,67035000.0,66850000.0,66850000.0,17.62270841
2024-02-12 18:35:00,66850000.0,66875000.0,66730000.0,66736000.0,16.83925855
2024-02-12 18:40:00,66736000.0,66902000.0,66724000.0,66900000.0,11.36731799
2024-02-12 18:45:00,66857000.0,66889000.0,66732000.0,66756000.0,9.16186443
2024-02-12 18:50:00,66756000.0,66808000.0,66727000.0,66727000.0,8.15233806
2024-02-12 18:55:00,66727000.0,66809000.0,66724000.0,66742000.0,6.89016271
2024-02-12 19:00:00,66757000.0,66794000.0,66740000.0,66757000.0,8.52411707
2024-02-12 19:05:00,66757000.0,66896000.0,66757000.0,66888000.0,10.65920654
2024-02-12 19:10:00,66888000.0,66954000.0,66831000.0,66842000.0,14.50100891
2024-02-12 19:15:00,66870000.0,66932000.0,66770000.0,66770000.0,11.80637123
2024-02-12 19:20:00,66776000.0,66815000.0,66702000.0,66721000.0,11.36709126
2024-02-12 19:25:00,66721000.0,66903000.0,66720000.0,66872000.0,7.52350622
2024-02-12 19:30:00,66872000.0,66940000.0,66777000.0,66781000.0,13.10224543
2024-02-12 19:35:00,66781000.0,66821000.0,66721000.0,66725000.0,6.93727105
2024-02-12 19:40:00,66739000.0,66762000.0,66700000.0,66701000.0,13.95945423
2024-02-12 19:45:00,66701000.0,66791000.0,66700000.0,66701000.0,14.78869969
2024-02-12 19:50:00,66701000.0,66712000.0,66623000.0,66623000.0,16.07857971
2024-02-12 19:55:00,66623000.0,66627000.0,66559000.0,66590000.0,15.94041407
2024-02-12 20:00:00,66590000.0,66800000.0,66555000.0,66776000.0,14.19501425
2024-02-12 20:05:00,66799000.0,66876000.0,66759000.0,66873000.0,7.68031881
2024-02-12 20:10:00,66838000.0,66948000.0,66838000.0,66919000.0,11.06036677
2024-02-12 20:15:00,66919000.0,66944000.0,66850000.0,66908000.0,9.50843822
2024-02-12 20:20:00,66908000.0,66913000.0,66851000.0,66895000.0,4.50088549
2024-02-12 20:25:00,66900000.0,67002000.0,66894000.0,67000000.0,9.10567463
2024-02-12 20:30:00,67000000.0,67063000.0,66941000.0,66941000.0,10.89112232
2024-02-12 20:35:00,66950000.0,67033000.0,66876000.0,66988000.0,11.79538074
2024-02-12 20:40:00,67014000.0,67100000.0,66986000.0,67099000.0,13.67787944
2024-02-12 20:45:00,67099000.0,67240000.0,67099000.0,67169000.0,35.52529544
2024-02-12 20:50:00,67170000.0,67290000.0,67169000.0,67290000.0,11.00685379
2024-02-12 20:55:00,67290000.0,67297000.0,67213000.0,67223000.0,21.31016907
2024-02-12 21:00:00,67255000.0,67277000.0,67122000.0,67259000.0,16.47341552
2024-02-12 21:05:00,67260000.0,67317000.0,67200000.0,67200000.0,22.16473853
2024-02-12 21:10:00,67198000.0,67353000.0,67195000.0,67352000.0,14.08292036
2024-02-12 21:15:00,67352000.0,67357000.0,67257000.0,67289000.0,19.59599573
2024-02-12 21:20:00,67276000.0,67318000.0,67237000.0,67265000.0,9.36719129
2024-02-12 21:25:00,67265000.0,67272000.0,67168000.0,67195000.0,10.05189116
2024-02-12 21:30:00,67194000.0,67196000.0,67101000.0,67108000.0,21.322125
2024-02-12 21:35:00,67108000.0,67108000.0,67101000.0,67102000.0,9.70242869
2024-02-12 21:40:00,67101000.0,67130000.0,67100000.0,67102000.0,11.04134282
2024-02-12 21:45:00,67101000.0,67101000.0,66872000.0,66902000.0,27.7766592
2024-02-12 21:50:00,66881000.0,66998000.0,66874000.0,66910000.0,18.59451526
2024-02-12 21:55:00,66906000.0,66943000.0,66892000.0,66892000.0,13.58067846
