,open,high,low,close,volume,value,candle_type
2024-02-06 08:20:00,58782000.0,58812000.0,58782000.0,58812000.0,1.37653291,80937489.06457,True
2024-02-06 08:21:00,58820000.0,58866000.0,58820000.0,58824000.0,0.54360809,31980586.38778,True
2024-02-06 08:22:00,58835000.0,58884000.0,58824000.0,58831000.0,0.86528371,50938421.31985,False
2024-02-06 08:23:00,58878000.0,58885000.0,58831000.0,58885000.0,5.68719094,334849450.83279,True
2024-02-06 08:24:00,58884000.0,58898000.0,58884000.0,58895000.0,2.55783606,150639863.82773,True
2024-02-06 08:25:00,58895000.0,58950000.0,58895000.0,58950000.0,2.37513866,139931493.96785,True
2024-02-06 08:26:00,58950000.0,58961000.0,58909000.0,58938000.0,2.08523535,122896621.42921,False
2024-02-06 08:27:00,58937000.0,58938000.0,58912000.0,58933000.0,1.1394631,67137156.3891,False
2024-02-06 08:28:00,58933000.0,58935000.0,58913000.0,58913000.0,1.4902219,87810684.50257,False
2024-02-06 08:29:00,58934000.0,58934000.0,58905000.0,58905000.0,1.90988084,112511145.36981,False
2024-02-06 08:30:00,58905000.0,58906000.0,58870000.0,58870000.0,3.40338952,200420100.96721,False
2024-02-06 08:31:00,58870000.0,58879000.0,58866000.0,58870000.0,0.9887588,58215562.37579,
2024-02-06 08:32:00,58870000.0,58888000.0,58864000.0,58888000.0,0.7266635,42783109.23508,True
2024-02-06 08:33:00,58884000.0,58888000.0,58884000.0,58887000.0,0.91707843,54004358.91703,True
2024-02-06 08:34:00,58888000.0,58905000.0,58884000.0,58905000.0,0.39676916,23364979.62774,True
2024-02-06 08:35:00,58895000.0,58913000.0,58895000.0,58913000.0,0.68041585,40080718.43755,True
2024-02-06 08:36:00,58931000.0,58933000.0,58928000.0,58929000.0,0.3358134,19789431.16943,False
2024-02-06 08:37:00,58929000.0,58933000.0,58928000.0,58933000.0,1.39487386,82200778.41285,True
2024-02-06 08:38:00,58933000.0,58948000.0,58931000.0,58948000.0,1.14050818,67217639.15652,True
2024-02-06 08:39:00,58948000.0,58953000.0,58938000.0,58953000.0,0.47987977,28288744.71917,True
2024-02-06 08:40:00,58953000.0,58955000.0,58953000.0,58955000.0,0.96419428,56842327.17826,True
2024-02-06 08:41:00,58955000.0,58956000.0,58955000.0,58956000.0,0.46447458,27383473.91421,True
2024-02-06 08:42:00,58956000.0,58960000.0,58955000.0,58960000.0,1.66756462,98314405.00425,True
2024-02-06 08:43:00,58957000.0,58976000.0,58955000.0,58955000.0,2.30785629,136069932.90317,False
2024-02-06 08:44:00,58955000.0,58976000.0,58950000.0,58955000.0,0.57013804,33618258.97881,
2024-02-06 08:45:00,58955000.0,58999000.0,58950000.0,58955000.0,2.82890023,166871238.3595,
2024-02-06 08:46:00,58995000.0,58996000.0,58957000.0,58960000.0,2.33741361,137894461.35714,False
2024-02-06 08:47:00,58960000.0,58993000.0,58949000.0,58949000.0,1.71887612,101344701.64981,False
2024-02-06 08:48:00,58949000.0,58960000.0,58949000.0,58950000.0,0.91140916,53726881.32171,True
2024-02-06 08:49:00,58950000.0,58950000.0,58928000.0,58929000.0,2.02058363,119084277.05685,False
2024-02-06 08:50:00,58929000.0,58936000.0,58920000.0,58921000.0,1.16090062,68406236.70641,False
2024-02-06 08:51:00,58925000.0,58926000.0,58913000.0,58913000.0,0.69390401,40884460.15835,False
2024-02-06 08:52:00,58913000.0,58913000.0,58890000.0,58908000.0,1.28644323,75780119.25202,False
2024-02-06 08:53:00,58908000.0,58908000.0,58890000.0,58890000.0,0.79968268,47095986.57842,False
2024-02-06 08:54:00,58891000.0,58905000.0,58885000.0,58891000.0,0.98571056,58049273.70632,
2024-02-06 08:55:00,58905000.0,58905000.0,58891000.0,58905000.0,0.41974723,24720920.25625,
2024-02-06 08:56:00,58905000.0,58905000.0,58892000.0,58905000.0,2.5875448,152419233.24652,
2024-02-06 08:57:00,58901000.0,58905000.0,58892000.0,58904000.0,0.82569041,48633527.7803,True
2024-02-06 08:58:00,58893000.0,58904000.0,58892000.0,58893000.0,0.16796365,9893129.7687,
2024-02-06 08:59:00,58903000.0,58903000.0,58882000.0,58882000.0,1.93192757,113763903.06138,False
