,open,high,low,close,volume,value
2024-02-07 14:44:00,817.1,827.0,817.0,826.8,2104092.75770892,1729777538.9222462
2024-02-07 14:45:00,827.0,829.7,817.3,818.6,1728542.23459439,1424613870.7060087
2024-02-07 14:46:00,818.6,830.2,818.3,830.0,902999.67276468,744352188.5093523
2024-02-07 14:47:00,830.2,839.5,824.8,830.9,1498568.2231325,1248177271.737483
2024-02-07 14:48:00,830.3,840.0,826.3,837.6,620986.61340738,516704991.16505086
2024-02-07 14:49:00,837.6,843.3,837.0,841.0,907578.41216759,761494642.1529403
2024-02-07 14:50:00,841.1,851.0,840.9,850.0,1330055.27584161,1125115338.7852874
2024-02-07 14:51:00,849.0,855.7,848.0,849.5,1507801.48636724,1285184493.704625
2024-02-07 14:52:00,849.2,855.5,848.0,855.0,1160046.52176171,988577812.3397356
2024-02-07 14:53:00,855.2,855.2,837.3,839.5,1886177.81373766,1589608451.415475
2024-02-07 14:54:00,839.8,844.5,834.4,836.6,1401602.80831914,1175395570.3513165
2024-02-07 14:55:00,836.6,841.2,835.0,841.0,1083232.01029304,908198203.0839202
2024-02-07 14:56:00,841.0,846.0,840.8,846.0,657199.10844857,554603200.3971658
2024-02-07 14:57:00,845.8,846.3,841.2,841.9,676076.36236767,571003115.7486042
2024-02-07 14:58:00,841.4,849.3,841.4,849.3,438551.93832701,370642968.31431764
2024-02-07 14:59:00,849.5,857.3,849.5,857.2,779625.47053503,664975854.9725693
2024-02-07 15:00:00,857.2,865.1,818.8,833.8,2516041.42566567,2133858330.8482869
2024-02-07 15:01:00,831.9,831.9,782.8,797.2,6964016.82232905,5588575907.055899
2024-02-07 15:02:00,797.2,803.3,767.1,776.7,6751352.54627647,5284140759.743372
2024-02-07 15:03:00,778.0,781.0,732.1,743.9,8820420.55122883,6633686871.349559
2024-02-07 15:04:00,743.9,752.6,715.0,723.8,7568936.4000213,5530287580.541418
2024-02-07 15:05:00,723.8,724.1,702.0,720.0,6279578.80997498,4494854156.38443
2024-02-07 15:06:00,720.0,736.0,716.9,719.9,4441050.86031651,3224292130.118788
2024-02-07 15:07:00,720.0,732.9,719.1,720.0,3190705.65318531,2319271022.228206
2024-02-07 15:08:00,724.3,727.6,719.0,722.4,3342189.85283002,2414334605.940035
2024-02-07 15:09:00,722.8,728.8,709.4,714.4,3909764.3331202,2805586642.642975
2024-02-07 15:10:00,714.4,725.0,714.4,717.5,2910082.3992567,2093826004.9878438
2024-02-07 15:11:00,717.6,723.0,717.6,721.9,1273017.64226493,917345865.9665469
2024-02-07 15:12:00,721.7,728.3,720.9,722.2,1835270.33713935,1330355021.1656835
2024-02-07 15:13:00,722.5,728.2,722.0,728.2,1485315.52999997,1077297715.731323
2024-02-07 15:14:00,728.3,729.4,708.8,714.1,3562653.48247865,2556915284.255449
2024-02-07 15:15:00,714.1,714.2,695.0,701.4,6634272.0605647,4662975286.494527
2024-02-07 15:16:00,701.9,713.7,699.7,713.1,2420090.91507127,1706763859.3436937
2024-02-07 15:17:00,713.0,721.6,713.0,716.3,2238022.43375046,1602420548.5982862
2024-02-07 15:18:00,716.0,717.5,710.0,710.0,1660216.58491135,1185950476.7153978
2024-02-07 15:19:00,710.0,711.0,702.9,705.3,2333149.88916976,1651264517.4270315
