,open,high,low,close,volume,value
2024-03-10 20:03:00,999.5,1000.0,998.3,1000.0,70970.86319179,70923552.5436602
2024-03-10 20:04:00,1000.0,1000.0,998.3,999.0,31374.67897936,31363477.24142531
2024-03-10 20:05:00,999.0,1001.0,999.0,1001.0,40999.36498284,41005899.71275466
2024-03-10 20:06:00,1001.0,1001.0,999.3,1000.0,33445.8635085,33444189.98739321
2024-03-10 20:07:00,1000.0,1001.0,1000.0,1001.0,60235.85680025,60279622.81277213
2024-03-10 20:08:00,1001.0,1001.0,1000.0,1000.0,61250.23366141,61270540.85866888
2024-03-10 20:09:00,1000.0,1002.0,1000.0,1000.0,24946.11435937,24972067.86367791
2024-03-10 20:10:00,1000.0,1000.0,999.8,999.9,37758.41769366,37755885.60118998
2024-03-10 20:11:00,999.9,999.9,999.4,999.4,16794.07881974,16789360.39844692
2024-03-10 20:12:00,999.4,999.4,998.3,999.0,28575.22429905,28547866.12321255
2024-03-10 20:13:00,998.2,999.0,997.1,997.5,21082.76597521,21032919.79328123
2024-03-10 20:14:00,997.5,997.5,996.9,997.0,36673.60044505,36570321.92344339
2024-03-10 20:15:00,997.0,997.0,995.4,995.9,29202.13247195,29097446.55596595
2024-03-10 20:16:00,995.7,995.8,994.0,994.2,18074.61451169,17978991.77902904
2024-03-10 20:17:00,994.6,994.6,992.1,992.5,103051.06016484,102409850.74185291
2024-03-10 20:18:00,992.5,993.9,991.2,993.8,43044.77471253,42720066.35805528
2024-03-10 20:19:00,993.9,994.1,993.9,994.1,12811.11150757,12733031.50926457
2024-03-10 20:20:00,994.2,995.0,993.8,993.8,76470.19220529,76017774.44842197
2024-03-10 20:21:00,993.5,993.7,992.7,992.7,37555.01067128,37291145.86589045
2024-03-10 20:22:00,992.5,992.7,992.5,992.5,25602.99934648,25414289.02670118
2024-03-10 20:23:00,992.7,992.7,992.0,992.0,19480.24710694,19335157.51487924
2024-03-10 20:24:00,992.0,992.2,991.0,992.2,44309.09490689,43934448.36298822
2024-03-10 20:25:00,992.3,993.6,992.3,993.6,6132.2603886,6086557.45708544
2024-03-10 20:26:00,992.6,993.7,992.6,993.6,19546.75388305,19421578.8262543
2024-03-10 20:27:00,993.6,993.7,992.7,993.5,16371.43177797,16265477.78615286
2024-03-10 20:28:00,992.7,993.5,992.4,992.4,15491.27238775,15380317.39088167
2024-03-10 20:29:00,992.4,992.4,992.4,992.4,15453.26636743,15335821.54303754
2024-03-10 20:30:00,992.3,992.9,992.3,992.9,7826.15923036,7766699.64210554
2024-03-10 20:31:00,992.4,992.9,991.0,992.7,15328.61480409,15208783.75729044
2024-03-10 20:32:00,991.9,991.9,991.0,991.0,20343.55405957,20164483.03544524
2024-03-10 20:33:00,991.0,991.2,989.5,989.5,49264.43627764,48783696.16336383
2024-03-10 20:34:00,989.5,990.2,989.5,990.2,23448.06929224,23204666.77212673
2024-03-10 20:35:00,990.2,991.0,989.7,990.0,21167.49918593,20955731.51358994
2024-03-10 20:36:00,990.0,992.8,990.0,990.0,8029.88463079,7957924.79107327
2024-03-10 20:37:00,990.0,991.5,989.6,989.7,18961.75318615,18772576.54637286
2024-03-10 20:38:00,989.7,990.0,989.7,989.8,47373.83339972,46891381.56516849
2024-03-10 20:39:00,990.0,990.7,989.8,989.8,33253.81262472,32918570.80685536
2024-03-10 20:40:00,989.8,991.4,989.8,989.9,24157.44872652,23927110.60569759
2024-03-10 20:41:00,990.0,990.9,989.9,989.9,17833.51340053,17656675.71565876
2024-03-10 20:42:00,989.9,990.0,989.9,990.0,11128.32758175,11016755.82224726
2024-03-10 20:43:00,990.0,990.0,988.7,988.9,65904.11367941,65207070.7889118
2024-03-10 20:44:00,988.9,988.9,988.8,988.9,22173.30664216,21926087.07076256
2024-03-10 20:45:00,989.8,990.2,989.0,989.9,20722.41377845,20514263.79568412
2024-03-10 20:46:00,989.9,989.9,988.9,988.9,4187.47380398,4142313.12696299
2024-03-10 20:47:00,989.0,989.0,988.1,988.1,68879.48854831,68107665.03505854
2024-03-10 20:48:00,988.1,988.1,987.8,987.9,48141.8723036,47562471.13846588
2024-03-10 20:49:00,987.9,987.9,987.7,987.9,18979.26974221,18748516.37762572
2024-03-10 20:50:00,987.8,988.3,987.8,988.3,39691.82883017,39215407.95899268
2024-03-10 20:51:00,988.2,988.2,987.8,987.8,25163.07974705,24862119.8207654
2024-03-10 20:52:00,987.8,988.3,987.7,987.8,54049.57065596,53394514.60303956
2024-03-10 20:53:00,987.7,988.7,987.7,988.6,27512.45436291,27182301.64899868
2024-03-10 20:54:00,988.6,988.7,988.0,988.2,8376.31173141,8279050.36642559
2024-03-10 20:55:00,988.3,988.7,988.3,988.7,14328.3071118,14165332.55645455
2024-03-10 20:56:00,988.7,988.7,988.5,988.5,11410.44377665,11279461.44883208
2024-03-10 20:57:00,988.6,988.9,988.6,988.9,11812.57301576,11679151.10112607
2024-03-10 20:58:00,988.9,990.1,988.9,990.0,16698.13421163,16526231.74324287
2024-03-10 20:59:00,990.0,991.4,990.0,990.6,20223.12151801,20025280.41458275
2024-03-10 21:00:00,990.6,990.7,990.2,990.2,10298.38805114,10200739.95742643
2024-03-10 21:01:00,990.3,991.0,990.2,991.0,15444.77383228,15294060.41886719
2024-03-10 21:02:00,990.4,991.5,990.3,991.5,6180.5410618,6123166.04354393
2024-03-10 21:03:00,991.3,991.3,990.1,990.2,22646.28142597,22435230.69235848
2024-03-10 21:04:00,990.3,991.0,990.1,991.0,7078.18924323,7009397.52022538
2024-03-10 21:05:00,990.5,991.6,990.4,991.5,13578.61274466,13461605.53463381
2024-03-10 21:06:00,991.5,991.5,991.1,991.1,14511.46775825,14384367.82954084
2024-03-10 21:07:00,991.4,993.0,991.4,992.8,38993.03000566,38671967.72114889
2024-03-10 21:08:00,992.1,992.8,991.5,991.7,28288.27738823,28053305.5469017
2024-03-10 21:09:00,991.8,992.4,991.8,992.4,22083.63555416,21904317.59764769
2024-03-10 21:10:00,992.4,992.7,991.8,992.0,30079.16561698,29842577.88560017
2024-03-10 21:11:00,992.4,993.2,992.1,992.4,18946.18465744,18808502.08967709
2024-03-10 21:12:00,992.4,993.0,992.2,992.2,13421.71615041,13321633.45117568
